AQ,,CM,,CN,,CV,,DL,,DR,,GL,,GN,,GQ,,GR,,GV,,GX,,HJ,,HK,,HL,,JH,,JK,,JL,,KH,,KJ,,KL,,LD,,LG,,LH,,LJ,,LK,,LR,,LX,,MC,,MG,,MN,,MV,,NG,,NV,,QA,,QN,,QV,,RD,,RG,,RL,,RS,,SD,,SL,,SQ,,SR,,VA,,VC,,VG,,VM,,VN,,VQ,,XG,,XL,,XY,,YL,,YX
42,,42,,43,,45,,42,,42,,52,,42,,43,,43,,79,,42,,43,,72,,42,,42,,42,,54,,42,,44,,42,,42,,48,,43,,52,,44,,42,,65,,43,,43,,56,,42,,42,,44,,43,,43,,42,,42,,42,,42,,42,,43,,46,,44,,46,,44,,54,,65,,42,,46,,42,,42,,70,,42,,42,,42
42,,42,,45,,42,,42,,,,50,,43,,42,,42,,66,,42,,42,,72,,42,,46,,46,,47,,43,,47,,42,,43,,48,,43,,54,,44,,42,,73,,42,,42,,57,,48,,42,,42,,42,,42,,45,,42,,42,,43,,43,,43,,43,,44,,47,,43,,46,,64,,42,,42,,42,,42,,65,,43,,42,,42
42,,42,,48,,44,,42,,,,48,,42,,53,,49,,88,,43,,43,,66,,42,,44,,296,,60,,42,,48,,319,,46,,54,,43,,51,,42,,42,,64,,43,,42,,57,,49,,42,,46,,43,,,,76,,42,,42,,74,,42,,42,,42,,44,,48,,46,,45,,62,,42,,43,,43,,43,,66,,44,,42,,43
43,,43,,48,,52,,42,,,,66,,42,,60,,57,,223,,44,,49,,70,,48,,47,,304,,146,,42,,48,,308,,49,,63,,43,,113,,44,,43,,114,,42,,46,,60,,48,,43,,80,,46,,,,113,,44,,42,,96,,45,,42,,48,,66,,48,,78,,62,,126,,44,,46,,42,,57,,123,,67,,42,,69
42,,43,,43,,70,,42,,,,108,,43,,57,,66,,717,,48,,57,,65,,50,,44,,256,,112,,42,,48,,249,,57,,74,,46,,182,,43,,42,,263,,42,,43,,62,,57,,57,,133,,48,,,,91,,57,,43,,106,,43,,42,,75,,161,,46,,101,,89,,468,,42,,44,,43,,96,,305,,292,,42,,344
42,,42,,44,,74,,42,,,,183,,42,,58,,65,,827,,52,,58,,64,,48,,48,,258,,101,,42,,47,,250,,74,,66,,56,,248,,42,,46,,383,,42,,45,,57,,56,,48,,177,,44,,,,92,,62,,43,,113,,46,,43,,89,,156,,43,,136,,88,,668,,42,,44,,42,,86,,383,,372,,42,,393
42,,42,,44,,66,,42,,,,146,,42,,65,,72,,645,,49,,57,,64,,48,,48,,259,,91,,42,,48,,260,,62,,71,,50,,224,,42,,43,,356,,42,,43,,54,,55,,55,,145,,48,,,,96,,51,,43,,107,,44,,48,,78,,120,,47,,139,,69,,570,,42,,43,,42,,80,,342,,350,,42,,392
44,,42,,48,,70,,44,,,,171,,42,,62,,70,,660,,51,,51,,74,,46,,48,,231,,90,,43,,46,,223,,68,,77,,48,,248,,46,,42,,383,,42,,44,,57,,48,,53,,150,,42,,,,92,,58,,42,,92,,43,,43,,71,,114,,44,,147,,74,,621,,42,,46,,42,,79,,374,,350,,42,,426
44,,42,,44,,92,,43,,,,195,,43,,61,,70,,732,,57,,57,,61,,44,,48,,266,,86,,43,,45,,243,,74,,95,,57,,296,,42,,42,,408,,42,,42,,64,,52,,48,,145,,45,,,,75,,63,,42,,92,,42,,43,,75,,104,,48,,135,,72,,653,,43,,43,,42,,83,,414,,402,,42,,424
43,,42,,47,,74,,44,,,,139,,42,,61,,74,,614,,57,,60,,62,,48,,47,,261,,74,,42,,48,,270,,60,,68,,57,,223,,43,,42,,358,,42,,45,,56,,54,,49,,125,,47,,,,89,,57,,42,,93,,43,,43,,70,,112,,44,,107,,72,,553,,42,,43,,42,,80,,331,,345,,43,,356
42,,42,,48,,73,,44,,,,137,,42,,63,,71,,627,,51,,57,,62,,48,,43,,216,,90,,43,,46,,216,,63,,82,,48,,214,,42,,42,,364,,42,,44,,57,,56,,56,,140,,51,,,,89,,57,,42,,90,,44,,42,,80,,126,,42,,119,,74,,570,,42,,47,,43,,84,,351,,327,,42,,391
43,,42,,44,,77,,42,,,,171,,42,,58,,72,,648,,55,,57,,61,,48,,45,,223,,88,,42,,45,,216,,66,,74,,50,,232,,44,,43,,393,,42,,48,,43,,65,,47,,164,,48,,,,86,,59,,42,,94,,46,,43,,91,,118,,42,,130,,84,,604,,43,,42,,42,,81,,377,,379,,43,,400
43,,42,,42,,77,,43,,,,130,,44,,72,,74,,584,,51,,50,,57,,48,,52,,278,,75,,43,,50,,287,,64,,83,,49,,209,,43,,44,,336,,,,42,,42,,53,,50,,133,,48,,,,101,,56,,42,,96,,48,,42,,74,,106,,42,,125,,78,,554,,42,,42,,42,,88,,367,,321,,43,,411
42,,42,,42,,91,,42,,,,150,,42,,57,,70,,570,,57,,59,,42,,44,,44,,57,,78,,42,,42,,57,,67,,76,,50,,237,,43,,42,,355,,,,45,,42,,48,,47,,135,,42,,,,73,,62,,42,,73,,45,,42,,69,,96,,42,,119,,77,,577,,42,,44,,42,,80,,361,,352,,42,,370
42,,42,,43,,77,,42,,,,229,,42,,61,,65,,800,,54,,57,,65,,48,,45,,199,,120,,42,,42,,185,,70,,77,,54,,314,,42,,42,,365,,,,43,,42,,48,,48,,163,,43,,,,53,,65,,43,,57,,46,,42,,78,,120,,42,,128,,100,,685,,42,,48,,43,,76,,406,,361,,42,,443
44,,42,,42,,88,,42,,,,206,,42,,59,,57,,611,,53,,49,,66,,48,,48,,249,,128,,44,,45,,256,,77,,88,,43,,130,,42,,43,,322,,,,42,,43,,47,,50,,136,,44,,,,48,,63,,42,,57,,42,,43,,62,,92,,43,,107,,106,,597,,42,,47,,42,,80,,320,,244,,42,,252
44,,42,,42,,88,,42,,,,134,,42,,48,,70,,505,,53,,49,,65,,43,,48,,65,,76,,,,48,,63,,67,,96,,48,,238,,42,,44,,325,,,,42,,42,,43,,48,,115,,42,,,,45,,57,,43,,48,,42,,42,,70,,81,,42,,98,,101,,511,,42,,43,,42,,73,,326,,163,,43,,230
42,,43,,42,,90,,42,,,,148,,42,,48,,61,,434,,60,,63,,61,,48,,48,,60,,139,,,,48,,57,,81,,70,,57,,314,,43,,43,,270,,,,42,,42,,42,,48,,119,,42,,,,42,,54,,42,,48,,43,,42,,64,,74,,44,,99,,96,,497,,42,,42,,42,,81,,320,,128,,45,,165
44,,42,,43,,81,,42,,,,114,,43,,43,,50,,309,,48,,57,,62,,55,,43,,51,,229,,,,48,,48,,74,,75,,55,,285,,44,,42,,207,,,,44,,42,,42,,43,,94,,42,,,,43,,57,,43,,42,,42,,42,,62,,66,,48,,83,,92,,335,,42,,42,,43,,65,,263,,130,,42,,159
42,,42,,42,,66,,42,,,,92,,43,,42,,48,,247,,47,,57,,63,,65,,44,,46,,190,,,,48,,44,,62,,68,,53,,247,,44,,42,,171,,,,44,,42,,42,,45,,78,,42,,,,42,,48,,43,,42,,42,,42,,60,,62,,44,,66,,83,,225,,42,,43,,42,,57,,160,,95,,42,,96
43,,,,42,,70,,44,,,,78,,42,,44,,42,,184,,47,,53,,65,,51,,48,,45,,164,,,,48,,44,,51,,64,,54,,224,,44,,42,,128,,,,45,,42,,42,,44,,57,,42,,,,42,,44,,42,,71,,42,,42,,57,,50,,43,,57,,72,,177,,42,,43,,43,,50,,125,,53,,43,,66
42,,,,42,,57,,43,,,,72,,42,,42,,43,,148,,42,,55,,66,,50,,42,,42,,129,,,,48,,42,,48,,50,,56,,216,,46,,42,,107,,,,45,,42,,48,,42,,55,,42,,,,44,,42,,42,,97,,42,,,,45,,47,,42,,57,,65,,135,,42,,42,,42,,52,,112,,62,,43,,65
,,,,42,,48,,45,,,,65,,42,,53,,42,,107,,44,,48,,57,,48,,42,,193,,128,,,,48,,213,,44,,59,,53,,115,,42,,42,,103,,,,42,,42,,55,,44,,49,,42,,,,82,,42,,42,,103,,43,,,,48,,47,,43,,48,,51,,100,,42,,48,,42,,48,,94,,55,,45,,49
,,,,43,,48,,42,,,,52,,42,,62,,42,,85,,43,,49,,59,,48,,42,,256,,72,,,,48,,260,,43,,49,,56,,92,,43,,43,,82,,,,42,,42,,48,,42,,43,,42,,,,107,,44,,42,,103,,48,,,,46,,45,,42,,43,,48,,81,,42,,43,,42,,43,,84,,43,,43,,42
,,,,44,,44,,42,,,,55,,42,,61,,48,,75,,43,,44,,63,,51,,42,,225,,76,,,,47,,224,,43,,48,,48,,88,,44,,42,,62,,,,43,,42,,52,,42,,43,,48,,,,88,,51,,,,57,,46,,,,46,,46,,44,,44,,48,,67,,42,,45,,42,,43,,68,,42,,42,,43
,,,,42,,42,,42,,,,50,,42,,57,,57,,70,,44,,44,,43,,43,,48,,248,,63,,,,46,,226,,43,,48,,43,,69,,44,,43,,66,,,,43,,42,,42,,43,,42,,45,,,,78,,57,,,,77,,43,,,,46,,42,,44,,42,,48,,65,,42,,48,,42,,42,,63,,42,,,,42
,,,,42,,44,,42,,,,48,,42,,44,,64,,83,,42,,43,,42,,44,,42,,285,,57,,,,42,,280,,46,,50,,43,,57,,46,,42,,70,,,,44,,43,,48,,46,,43,,43,,,,57,,59,,,,99,,42,,,,46,,42,,48,,44,,44,,61,,42,,47,,42,,53,,65,,43,,,,43
,,,,42,,48,,43,,,,64,,42,,57,,68,,191,,43,,42,,43,,42,,43,,262,,48,,,,42,,248,,48,,57,,42,,52,,42,,42,,106,,,,47,,42,,51,,55,,80,,42,,,,70,,57,,,,104,,44,,,,49,,62,,44,,72,,58,,135,,42,,48,,43,,94,,113,,49,,,,53
,,,,42,,66,,42,,,,113,,42,,65,,65,,706,,46,,42,,42,,42,,48,,295,,48,,,,48,,269,,52,,78,,42,,48,,42,,44,,274,,,,44,,42,,49,,48,,128,,48,,,,79,,48,,,,92,,44,,,,73,,163,,42,,94,,90,,428,,42,,42,,44,,79,,274,,269,,,,279
,,,,42,,74,,44,,,,195,,42,,66,,47,,812,,55,,48,,59,,44,,44,,270,,48,,,,48,,271,,70,,75,,43,,48,,42,,42,,404,,,,47,,42,,54,,48,,193,,47,,,,94,,48,,,,84,,48,,,,84,,143,,42,,127,,92,,646,,42,,42,,42,,74,,367,,370,,,,374
,,,,42,,61,,43,,,,173,,42,,61,,57,,628,,48,,48,,68,,50,,48,,229,,122,,,,46,,215,,66,,96,,42,,108,,42,,44,,370,,,,43,,42,,54,,42,,156,,45,,,,92,,57,,,,101,,47,,,,79,,115,,42,,139,,74,,563,,43,,44,,42,,83,,333,,358,,,,378
,,,,43,,75,,42,,,,184,,42,,61,,74,,642,,52,,55,,75,,55,,49,,211,,133,,,,43,,212,,63,,104,,44,,153,,44,,42,,404,,,,44,,43,,65,,47,,145,,42,,,,95,,56,,,,68,,47,,,,68,,104,,44,,136,,82,,565,,42,,48,,42,,49,,402,,400,,,,442
,,,,45,,57,,43,,,,81,,,,68,,70,,209,,44,,63,,74,,48,,48,,283,,96,,,,48,,274,,48,,48,,48,,238,,43,,42,,135,,,,43,,44,,57,,53,,72,,45,,,,105,,62,,,,60,,59,,,,53,,57,,46,,65,,50,,231,,,,42,,43,,72,,125,,113,,,,159
,,,,43,,62,,43,,,,108,,,,62,,68,,406,,50,,57,,64,,44,,44,,72,,84,,,,44,,74,,57,,60,,48,,238,,44,,42,,233,,,,42,,43,,56,,56,,103,,45,,,,61,,60,,,,53,,48,,,,62,,92,,43,,97,,69,,353,,,,42,,42,,81,,223,,229,,,,273
,,,,42,,70,,44,,,,152,,,,58,,65,,627,,50,,57,,68,,48,,46,,75,,92,,,,54,,70,,57,,71,,48,,255,,43,,42,,373,,,,43,,42,,48,,48,,156,,43,,,,48,,66,,,,44,,46,,,,86,,120,,44,,129,,79,,639,,,,42,,43,,83,,374,,306,,,,417
,,,,42,,74,,43,,,,184,,,,57,,74,,632,,53,,54,,63,,45,,48,,57,,92,,,,48,,54,,61,,84,,54,,326,,42,,42,,435,,,,43,,42,,44,,49,,170,,43,,,,48,,64,,,,44,,43,,,,83,,110,,45,,134,,92,,650,,,,42,,42,,80,,407,,336,,,,425
,,,,42,,81,,43,,,,142,,,,48,,57,,626,,52,,57,,66,,44,,45,,44,,88,,,,48,,42,,66,,77,,51,,265,,46,,42,,355,,,,48,,42,,44,,43,,153,,42,,,,47,,57,,,,42,,43,,,,70,,103,,42,,134,,75,,570,,,,43,,42,,84,,391,,355,,,,415
,,,,42,,85,,43,,,,165,,,,44,,65,,615,,52,,60,,61,,48,,46,,42,,96,,,,48,,42,,69,,84,,57,,232,,42,,42,,389,,,,44,,43,,42,,48,,142,,42,,,,43,,60,,,,74,,42,,,,81,,123,,44,,133,,74,,560,,,,42,,47,,83,,376,,374,,,,416
,,,,42,,71,,44,,,,221,,,,45,,61,,825,,52,,50,,64,,48,,48,,42,,101,,,,48,,42,,78,,77,,50,,224,,42,,42,,408,,,,44,,42,,42,,48,,171,,42,,,,42,,48,,,,92,,42,,,,70,,120,,44,,136,,81,,711,,,,45,,43,,84,,428,,364,,,,444
,,,,42,,90,,42,,,,223,,,,43,,57,,638,,55,,57,,64,,48,,48,,42,,88,,,,43,,42,,81,,89,,51,,245,,,,42,,332,,,,46,,42,,42,,48,,145,,48,,,,44,,42,,,,96,,42,,,,62,,79,,43,,119,,107,,615,,,,45,,43,,84,,352,,216,,,,247
,,,,42,,92,,42,,,,151,,,,44,,47,,506,,48,,57,,44,,48,,47,,48,,92,,,,46,,44,,74,,74,,52,,257,,,,42,,299,,,,43,,42,,46,,48,,130,,57,,,,43,,42,,,,101,,43,,,,64,,77,,43,,104,,113,,518,,,,46,,42,,77,,319,,153,,,,199
,,,,42,,90,,42,,,,141,,,,43,,44,,456,,55,,49,,42,,48,,47,,249,,112,,,,43,,252,,72,,84,,57,,319,,,,42,,254,,,,43,,48,,52,,43,,113,,51,,,,42,,44,,,,105,,44,,,,60,,78,,43,,100,,108,,454,,,,42,,,,70,,284,,144,,,,158
,,,,42,,88,,42,,,,119,,,,43,,42,,290,,48,,57,,42,,57,,42,,292,,242,,,,,,283,,65,,69,,52,,299,,,,42,,215,,,,44,,48,,51,,44,,81,,48,,,,42,,43,,,,98,,43,,,,63,,59,,42,,80,,93,,342,,,,44,,,,57,,242,,130,,,,129
,,,,42,,64,,42,,,,92,,,,42,,48,,220,,48,,48,,,,64,,43,,309,,246,,,,,,283,,49,,59,,48,,247,,,,43,,154,,,,48,,56,,52,,43,,82,,45,,,,75,,50,,,,101,,48,,,,50,,64,,42,,70,,72,,216,,,,47,,,,57,,169,,88,,,,75
,,,,43,,62,,42,,,,80,,,,52,,57,,166,,48,,56,,,,56,,43,,327,,181,,,,,,315,,48,,66,,53,,273,,,,43,,128,,,,43,,54,,55,,42,,56,,44,,,,88,,57,,,,106,,45,,,,49,,52,,43,,54,,68,,145,,,,48,,,,57,,140,,62,,,,74
,,,,44,,57,,42,,,,76,,,,57,,65,,147,,48,,48,,,,55,,43,,350,,141,,,,,,323,,43,,59,,55,,232,,,,42,,124,,,,45,,48,,56,,42,,48,,48,,,,81,,57,,,,80,,45,,,,48,,49,,48,,57,,68,,144,,,,43,,,,52,,119,,62,,,,66
,,,,42,,48,,42,,,,58,,,,56,,55,,107,,43,,48,,,,57,,42,,335,,137,,,,,,308,,42,,57,,52,,142,,,,,,80,,,,44,,42,,52,,42,,48,,46,,,,80,,52,,,,89,,48,,,,47,,48,,47,,48,,57,,101,,,,44,,,,42,,92,,45,,,,48
,,,,42,,48,,42,,,,57,,,,61,,59,,80,,44,,48,,,,47,,42,,358,,92,,,,,,346,,42,,57,,44,,96,,,,,,73,,,,42,,42,,56,,43,,42,,43,,,,94,,57,,,,90,,43,,,,48,,45,,47,,48,,48,,84,,,,46,,,,43,,76,,43,,,,44
,,,,42,,42,,,,,,57,,,,57,,65,,79,,44,,44,,,,48,,47,,346,,76,,,,,,327,,48,,55,,46,,91,,,,,,69,,,,44,,,,52,,48,,43,,46,,,,84,,60,,,,75,,48,,,,46,,43,,46,,43,,48,,68,,,,44,,,,42,,74,,43,,,,42
