Date,Delivering,Receiving,PCS
2020/4/28,R,O,216
2020/4/28,R,L,320
2020/4/28,R,G,110
2020/4/28,R,D,96
2020/4/28,P,D,144
2020/4/28,O,R,216
2020/4/28,N,G,72
2020/4/28,N,V,156
2020/4/28,N,M,163
2020/4/28,M,V,101
2020/4/28,M,U,101
2020/4/28,M,G,62
2020/4/28,U,A,87
2020/4/28,O,G,235
2020/4/28,U,G,49
2020/4/28,M,C,42
2020/4/28,U,V,98
2020/4/28,V,A,117
2020/4/28,V,C,42
2020/4/28,V,G,496
2020/4/28,V,M,91
2020/4/28,V,N,137
2020/4/28,W,L,492
2020/4/28,W,X,0
2020/4/28,W,Y,201
2020/4/28,X,W,44
2020/4/28,X,Y,44
2020/4/28,Y,L,50
2020/4/28,Y,W,242
2020/4/28,Y,X,0
2020/4/28,U,O,72
2020/4/28,L,W,478
2020/4/28,M,N,49
2020/4/28,L,P,127
2020/4/28,A,O,84
2020/4/28,C,U,44
2020/4/28,D,A,58
2020/4/28,D,E,75
2020/4/28,D,L,66
2020/4/28,D,R,90
2020/4/28,E,I,212
2020/4/28,G,L,689
2020/4/28,G,N,61
2020/4/28,G,O,298
2020/4/28,G,R,42
2020/4/28,G,V,624
2020/4/28,H,J,340
2020/4/28,H,K,67
2020/4/28,H,L,48
2020/4/28,C,M,43
2020/4/28,I,J,279
2020/4/28,L,O,66
2020/4/28,L,K,284
2020/4/28,L,R,340
2020/4/28,L,J,48
2020/4/28,L,G,621
2020/4/28,L,D,0
2020/4/28,L,H,94
2020/4/28,K,J,83
2020/4/28,K,H,305
2020/4/28,J,L,84
2020/4/28,J,K,280
2020/4/28,J,I,307
2020/4/28,J,H,43
2020/4/28,K,L,268
2020/4/28,I,E,125
2020/4/29,N,M,168
2020/4/29,P,D,136
2020/4/29,O,R,199
2020/4/29,O,G,210
2020/4/29,N,V,170
2020/4/29,L,R,269
2020/4/29,M,V,101
2020/4/29,M,N,48
2020/4/29,M,G,57
2020/4/29,M,C,42
2020/4/29,L,W,442
2020/4/29,R,D,89
2020/4/29,N,G,66
2020/4/29,R,G,83
2020/4/29,W,X,42
2020/4/29,R,O,198
2020/4/29,V,A,111
2020/4/29,V,G,424
2020/4/29,V,M,91
2020/4/29,V,N,136
2020/4/29,W,L,407
2020/4/29,W,Y,175
2020/4/29,X,G,44
2020/4/29,X,W,42
2020/4/29,X,Y,48
2020/4/29,Y,L,44
2020/4/29,Y,W,201
2020/4/29,L,P,108
2020/4/29,R,L,287
2020/4/29,L,O,57
2020/4/29,L,H,90
2020/4/29,L,J,48
2020/4/29,L,K,239
2020/4/29,C,M,42
2020/4/29,C,V,0
2020/4/29,D,A,60
2020/4/29,D,E,72
2020/4/29,D,L,62
2020/4/29,D,R,83
2020/4/29,E,I,170
2020/4/29,G,L,555
2020/4/29,G,N,54
2020/4/29,G,O,271
2020/4/29,G,R,42
2020/4/29,G,V,550
2020/4/29,H,J,327
2020/4/29,A,O,80
2020/4/29,H,L,47
2020/4/29,H,K,68
2020/4/29,L,G,545
2020/4/29,L,D,42
2020/4/29,K,L,236
2020/4/29,K,H,274
2020/4/29,K,J,57
2020/4/29,J,K,263
2020/4/29,J,I,287
2020/4/29,J,H,46
2020/4/29,I,J,257
2020/4/29,I,E,106
2020/4/29,J,L,81
2020/4/30,O,G,216
2020/4/30,R,D,83
2020/4/30,P,D,123
2020/4/30,O,R,191
2020/4/30,N,V,171
2020/4/30,M,C,0
2020/4/30,N,G,65
2020/4/30,M,V,106
2020/4/30,M,N,48
2020/4/30,M,G,58
2020/4/30,R,G,99
2020/4/30,N,M,182
2020/4/30,R,L,280
2020/4/30,W,L,440
2020/4/30,V,A,127
2020/4/30,V,C,42
2020/4/30,V,G,470
2020/4/30,V,M,92
2020/4/30,V,N,125
2020/4/30,W,Y,196
2020/4/30,X,G,42
2020/4/30,X,W,44
2020/4/30,X,Y,44
2020/4/30,Y,L,43
2020/4/30,Y,W,233
2020/4/30,Y,X,42
2020/4/30,L,W,446
2020/4/30,R,O,207
2020/4/30,L,R,289
2020/4/30,L,O,65
2020/4/30,L,P,91
2020/4/30,A,O,89
2020/4/30,C,M,42
2020/4/30,D,A,57
2020/4/30,D,E,66
2020/4/30,D,L,65
2020/4/30,D,R,77
2020/4/30,E,I,158
2020/4/30,G,N,60
2020/4/30,G,O,274
2020/4/30,G,R,42
2020/4/30,G,V,591
2020/4/30,H,J,294
2020/4/30,H,K,69
2020/4/30,G,L,553
2020/4/30,I,E,118
2020/4/30,H,L,44
2020/4/30,L,J,48
2020/4/30,L,H,81
2020/4/30,L,G,607
2020/4/30,K,L,252
2020/4/30,K,J,80
2020/4/30,L,K,240
2020/4/30,J,L,84
2020/4/30,J,K,265
2020/4/30,J,I,287
2020/4/30,J,H,43
2020/4/30,I,J,256
2020/4/30,K,H,240
2020/5/1,R,G,107
2020/5/1,R,D,96
2020/5/1,P,D,131
2020/5/1,O,R,211
2020/5/1,O,G,215
2020/5/1,N,V,193
2020/5/1,M,N,45
2020/5/1,N,G,74
2020/5/1,M,V,128
2020/5/1,M,G,63
2020/5/1,M,C,44
2020/5/1,L,W,523
2020/5/1,N,M,212
2020/5/1,R,L,327
2020/5/1,L,P,98
2020/5/1,V,A,125
2020/5/1,V,C,44
2020/5/1,V,G,536
2020/5/1,V,M,92
2020/5/1,V,N,142
2020/5/1,W,L,495
2020/5/1,W,X,0
2020/5/1,W,Y,199
2020/5/1,X,L,0
2020/5/1,X,W,43
2020/5/1,X,Y,46
2020/5/1,Y,L,45
2020/5/1,Y,W,241
2020/5/1,L,R,335
2020/5/1,R,O,234
2020/5/1,Y,X,42
2020/5/1,K,J,86
2020/5/1,L,K,287
2020/5/1,A,O,96
2020/5/1,C,M,43
2020/5/1,C,V,42
2020/5/1,D,A,61
2020/5/1,D,E,72
2020/5/1,D,L,66
2020/5/1,D,R,82
2020/5/1,E,I,177
2020/5/1,L,O,68
2020/5/1,G,N,65
2020/5/1,G,O,321
2020/5/1,G,R,43
2020/5/1,G,V,674
2020/5/1,H,J,332
2020/5/1,G,L,703
2020/5/1,H,L,47
2020/5/1,H,K,66
2020/5/1,L,H,96
2020/5/1,L,G,722
2020/5/1,L,D,42
2020/5/1,K,L,292
2020/5/1,K,H,287
2020/5/1,L,J,57
2020/5/1,J,K,297
2020/5/1,J,I,314
2020/5/1,J,H,44
2020/5/1,I,J,311
2020/5/1,I,E,125
2020/5/1,J,L,92
2020/5/2,R,G,101
2020/5/2,R,D,96
2020/5/2,P,D,128
2020/5/2,O,R,206
2020/5/2,O,G,247
2020/5/2,N,V,170
2020/5/2,M,N,45
2020/5/2,N,G,70
2020/5/2,M,V,101
2020/5/2,M,G,64
2020/5/2,M,C,46
2020/5/2,L,W,470
2020/5/2,N,M,170
2020/5/2,R,L,321
2020/5/2,L,R,303
2020/5/2,V,A,109
2020/5/2,V,C,0
2020/5/2,V,G,469
2020/5/2,V,M,81
2020/5/2,V,N,118
2020/5/2,W,L,472
2020/5/2,W,Y,206
2020/5/2,X,L,42
2020/5/2,X,W,43
2020/5/2,X,Y,47
2020/5/2,Y,L,42
2020/5/2,Y,W,241
2020/5/2,Y,X,42
2020/5/2,R,O,198
2020/5/2,L,P,98
2020/5/2,L,O,66
2020/5/2,L,K,273
2020/5/2,C,M,42
2020/5/2,C,V,42
2020/5/2,D,A,57
2020/5/2,D,E,73
2020/5/2,D,L,62
2020/5/2,D,R,90
2020/5/2,E,I,176
2020/5/2,G,L,641
2020/5/2,G,N,57
2020/5/2,G,O,312
2020/5/2,G,R,43
2020/5/2,G,V,544
2020/5/2,H,J,314
2020/5/2,H,K,63
2020/5/2,A,O,82
2020/5/2,I,E,120
2020/5/2,L,J,48
2020/5/2,L,H,83
2020/5/2,L,G,586
2020/5/2,H,L,48
2020/5/2,K,L,237
2020/5/2,K,J,75
2020/5/2,L,D,0
2020/5/2,J,L,92
2020/5/2,J,K,235
2020/5/2,J,I,312
2020/5/2,J,H,44
2020/5/2,I,J,257
2020/5/2,K,H,287
2020/5/3,R,D,105
2020/5/3,P,D,136
2020/5/3,O,R,215
2020/5/3,O,G,240
2020/5/3,N,V,160
2020/5/3,L,W,444
2020/5/3,N,G,70
2020/5/3,M,V,114
2020/5/3,M,N,48
2020/5/3,M,G,72
2020/5/3,M,C,43
2020/5/3,R,G,106
2020/5/3,N,M,162
2020/5/3,R,L,320
2020/5/3,W,L,467
2020/5/3,V,A,113
2020/5/3,V,C,42
2020/5/3,V,G,477
2020/5/3,V,M,92
2020/5/3,V,N,133
2020/5/3,W,X,42
2020/5/3,W,Y,183
2020/5/3,X,W,46
2020/5/3,X,Y,44
2020/5/3,Y,L,42
2020/5/3,Y,W,234
2020/5/3,Y,X,42
2020/5/3,L,R,324
2020/5/3,R,O,195
2020/5/3,L,P,104
2020/5/3,L,O,66
2020/5/3,L,K,278
2020/5/3,A,O,92
2020/5/3,C,M,43
2020/5/3,C,V,0
2020/5/3,D,A,58
2020/5/3,D,E,80
2020/5/3,D,L,66
2020/5/3,D,R,84
2020/5/3,G,L,650
2020/5/3,G,N,57
2020/5/3,G,O,338
2020/5/3,G,R,42
2020/5/3,G,V,542
2020/5/3,H,J,334
2020/5/3,E,I,208
2020/5/3,H,L,48
2020/5/3,H,K,74
2020/5/3,L,H,96
2020/5/3,L,G,565
2020/5/3,K,L,230
2020/5/3,K,J,70
2020/5/3,K,H,287
2020/5/3,L,J,47
2020/5/3,J,K,257
2020/5/3,J,I,305
2020/5/3,J,H,45
2020/5/3,I,J,266
2020/5/3,I,E,120
2020/5/3,J,L,80
2020/5/4,R,L,358
2020/5/4,R,G,128
2020/5/4,R,D,120
2020/5/4,P,D,164
2020/5/4,O,R,263
2020/5/4,O,G,293
2020/5/4,M,V,115
2020/5/4,N,M,198
2020/5/4,N,G,62
2020/5/4,M,N,48
2020/5/4,M,G,61
2020/5/4,M,C,48
2020/5/4,N,V,183
2020/5/4,R,O,226
2020/5/4,Y,X,0
2020/5/4,V,C,42
2020/5/4,V,G,542
2020/5/4,V,M,120
2020/5/4,V,N,112
2020/5/4,W,L,506
2020/5/4,W,X,42
2020/5/4,W,Y,175
2020/5/4,X,G,0
2020/5/4,X,W,42
2020/5/4,X,Y,43
